Player,POS,Team,Age,GP,W,L,Min,PTS,OREB,DREB,REB,AST,TD3,+/-
Buddy Boeheim,F,DET,23,10,2,8,90.1,16,2,4,6,4,0,3
RaiQuan Gray,F,BKN,23,1,0,1,35.1,16,3,6,9,7,0,-14
Darius Days,F,HOU,23,4,0,4,25,15,1,5,6,1,0,1
Jamaree Bouyea,G,WAS,23,5,2,3,70.5,15,1,5,6,4,0,-17
Scotty Pippen Jr.,G,LAL,22,6,1,5,31.5,14,2,2,4,2,0,-1
Jay Scrubb,G,ORL,22,2,1,1,30.1,13,0,6,6,1,0,-16
Neemias Queta,C,SAC,23,5,1,4,28.7,12,5,6,11,1,0,-30
Justin Champagnie,SF,BOS,21,5,4,1,34.3,11,3,5,8,4,0,-4
Facundo Campazzo,G,DAL,32,8,2,6,52.2,10,0,2,2,9,0,11
Lester Quinones,G,GSW,22,4,4,0,18.1,10,1,2,3,2,0,6
Cole Swider,F,LAL,23,7,2,5,41.1,9,1,6,7,4,0,3
Isaiah Todd,PF,WAS,21,6,2,4,61.4,9,2,10,12,4,0,-7
Joe Wieskamp,SF,TOR,23,9,6,3,49.7,9,0,4,4,3,0,2
Kendall Brown,SG,IND,19,6,1,5,40.3,9,2,4,6,3,0,4
Trevor Hudgins,G,HOU,24,5,0,5,28.3,9,0,0,0,3,0,3
Tyler Dorsey,G,DAL,27,3,2,1,8.3,9,1,1,2,0,0,2
Alize Johnson,F,SAS,27,4,1,3,29.5,7,2,8,10,1,0,12
Chance Comanche,C,POR,27,1,0,1,20.8,7,2,1,3,0,0,-29
Xavier Moon,PG,LAC,28,4,2,2,19.6,7,0,3,3,5,0,3
Leandro Bolmaro,F,UTA,22,14,8,6,68.5,6,4,3,7,7,0,2
Marko Simonovic,C,CHI,23,7,3,4,19.6,6,1,1,2,0,0,15
Mfiondu Kabengele,C,BOS,25,4,3,1,36.4,6,5,5,10,0,0,-5
Vernon Carey Jr.,C,UTA,22,11,8,3,28.5,6,3,8,11,3,0,-10
Dylan Windler,SG,CLE,26,3,3,0,10.4,5,0,0,0,1,0,-1
Kobi Simmons,G,CHA,25,5,1,4,27.8,5,1,3,4,5,0,-19
Malcolm Hill,F,CHI,27,5,4,1,9.2,5,0,3,3,0,0,9
Braxton Key,G,DET,26,3,0,3,9.1,4,0,1,1,0,0,-3
Dereon Seabron,G,NOP,22,5,2,3,11.6,4,1,0,1,0,0,10
Donovan Williams,G,ATL,21,2,1,1,4.3,4,0,2,2,0,0,6
Devon Dotson,G,WAS,23,6,1,5,53.1,3,6,4,10,8,0,-3
Jacob Gilyard,G,MEM,24,1,0,1,40.8,3,0,4,4,7,0,-13
Jordan Schakel,F,WAS,24,2,0,2,6.2,3,0,0,0,1,0,6
Trevor Keels,G,NYK,19,3,3,0,8,3,0,2,2,0,0,-18
Chima Moneke,F,SAC,27,2,1,1,7.9,2,2,0,2,1,0,-9
Chris Silva,F,DAL,26,1,1,0,3,2,0,0,0,0,0,1
Stanley Umude,G,DET,24,1,0,1,2.1,2,0,0,0,0,0,3
Alondes Williams,N/A,BKN,23,1,1,0,5.3,0,0,1,1,0,0,-5
Deonte Burton,N/A,SAC,29,2,1,1,6.5,0,0,0,0,0,0,5
Frank Jackson,N/A,UTA,24,1,0,1,5,0,1,1,2,1,0,-2
Michael Foster Jr.,N/A,PHI,20,1,1,0,1,0,0,0,0,0,0,-2
Sterling Brown,N/A,LAL,28,4,2,2,24.4,0,3,5,8,2,0,-4
