Player,POS,Team,Age,GP,W,L,Min,PTS,OREB,DREB,REB,AST,TD3,+/-
Oshae Brissett,SF,IND,24,65,27,38,1083.2,398,62,156,218,44,0,22
Gary Harris,SG,ORL,28,48,22,26,1184.4,397,21,77,98,59,0,-84
Jalen Johnson,SF,ATL,21,70,35,35,1041.6,395,51,231,282,83,0,-10
Cam Reddish,SF,POR,23,40,14,26,989.6,387,18,70,88,57,0,-193
Mark Williams,C,CHA,21,43,18,25,828,387,93,211,304,18,0,-79
John Wall,PG,LAC,32,34,15,19,754.7,386,14,78,92,178,0,-106
Mike Muscala,C,BOS,31,63,32,31,945.1,383,37,166,203,50,0,204
Will Barton,G,TOR,32,56,27,29,993,379,15,122,137,112,0,-168
Edmond Sumner,PG,BKN,27,53,33,20,736.2,378,13,66,79,68,0,25
Alex Caruso,SG,CHI,29,67,33,34,1575.4,374,42,154,196,193,0,199
Josh Christopher,SG,HOU,21,64,16,48,786.2,372,20,51,71,73,0,-225
Wenyen Gabriel,F,LAL,26,68,37,31,1023.8,372,116,170,286,36,0,-32
Delon Wright,SG,WAS,31,50,26,24,1221.2,369,58,122,180,194,0,69
JaMychal Green,F,GSW,32,57,30,27,796.7,366,72,133,205,51,0,-156
Goran Dragic,PG,MIL,36,58,27,31,870,365,16,65,81,151,0,5
John Konchar,SG,MEM,27,72,45,27,1493.8,364,64,246,310,100,0,209
Nickeil Alexander-Walker,SG,MIN,24,59,29,30,883.9,363,15,86,101,108,0,-51
Chris Duarte,SG,IND,25,46,19,27,897.2,362,19,96,115,64,0,-114
Dario Saric,PF,OKC,29,57,26,31,806,362,53,154,207,74,0,37
Steven Adams,C,MEM,29,42,28,14,1133.3,361,214,271,485,97,0,243
Christian Braun,G,DEN,22,76,49,27,1181.1,360,48,133,181,59,0,-114
Nassir Little,SF,POR,23,54,22,32,976.1,359,27,114,141,50,0,-190
Isaiah Livers,PF,DET,24,52,10,42,1198.7,346,28,115,143,41,0,-202
Landry Shamet,SG,PHX,26,40,19,21,806.9,346,11,56,67,93,0,38
Lamar Stevens,F,CLE,25,62,39,23,1120.5,328,48,159,207,33,0,6
Simone Fontecchio,F,UTA,27,52,25,27,765.8,328,31,55,86,42,0,-205
Mo Bamba,C,LAL,24,49,25,24,768.4,323,58,167,225,46,0,8
Yuta Watanabe,SF,BKN,28,58,30,28,927.8,322,30,111,141,48,0,-7
Chimezie Metu,PF,SAC,26,66,41,25,689,321,47,151,198,40,0,88
Montrezl Harrell,C,PHI,29,57,35,22,681.1,320,67,92,159,33,0,19
Derrick Jones Jr.,SF,CHI,26,64,29,35,893.4,319,60,93,153,34,0,122
Joe Ingles,SG,MIL,35,46,32,14,1043.5,317,13,115,128,150,0,80
T.J. Warren,SF,PHX,29,42,26,16,686.7,314,26,95,121,40,0,55
Ty Jerome,SG,GSW,25,45,22,23,815.6,309,7,71,78,135,0,-92
Moses Moody,SG,GSW,20,63,37,26,817.1,302,28,77,105,51,0,-7
R.J. Hampton,PG,DET,22,47,9,38,749.6,302,18,69,87,54,0,-140
